"","rowid","blockType","diceIndices_1","diceIndices_2","block","trialIndex","allTrialIndex","key","R","startSqueezyAcquisition","stateTime","state","diceWeights_1","diceWeights_2","diceWeights_3","diceWeights_4","criteria_1","criteria_2","criteria_3","criteria_4","criteria_5","bank","purse_1","purse_2","diceRollTime","break.","chosenDice","startDice","chosenDiceLocation","endDice","chosenWinProbs_1","chosenWinProbs_2","unchosenDice","rand_1","rand_2","winnings_1","winnings_2","randRwd","allowedWinnings_1","allowedWinnings_2","totalWin","isPurseFull_1","isPurseFull_2","winCurrency","isWinPurseFull","startReward","endReward","isPurseFullAfterReward_1","isPurseFullAfterReward_2","meanRecentChoice","moveToBank","goToNextState","recentPreference_1","recentPreference_2","startITI","startScan","subject_nr","stateName","correctDice","correct"
"1",1,1,1,2,1,1,1,0,1,527741.3736719,1,1,0.15,0,0,0.85,0,2,20,0,3,0,0,0,2.05667498592057,0,1,527741.7516979,1,527743.6558068,0.15,0,1,0.411412358400302,0.431150545662393,0,0,0.379120745752595,0,0,0,0,0,0,0,527745.8013251,527746.3298332,0,0,NA,0,0,0,0,527746.3382768,527741.291986,23,"learning",2,0
"2",2,1,1,2,1,2,2,0,1,527746.6181653,2,1,0.15,0,0,0.85,0,2,20,0,3,0,0,1,1.7566316631909,0,2,527746.9703049,2,527747.1285253,0,0.85,0,0.0452937638093279,0.0545523346096368,0,1,0.411249108309448,0,1,1,0,0,2,0,527748.9541558,527749.4857432,0,0,1,0,0,1,0,527749.4889078,527741.291986,23,"learning",2,1
"3",3,1,1,2,1,3,3,0,1,527749.9740339,3,1,0.15,0,0,0.85,0,2,20,0,3,0,0,2,1.64429804047612,0,2,527750.3224778,2,527750.5662916,0,0.85,0,0.252230028421014,0.500194152473151,0,1,0.0150793399393855,0,1,1,0,0,2,0,527752.2907815,527752.8186265,0,0,1.5,0,0,0,0,527752.8248681,527741.291986,23,"learning",2,1
"4",4,1,2,1,1,4,4,0,1,527753.2674936,4,1,0.15,0,0,0.85,0,2,20,0,3,0,0,2,1.10185810584935,0,1,527753.6084019,2,527753.9864891,0.15,0,1,0.716047922704473,0.670004879576343,0,0,0.259083277685364,0,0,0,0,0,0,0,527755.1593221,527755.6873592,0,0,1.66666666666667,0,0,0,0,527755.6905196,527741.291986,23,"learning",2,0
"5",5,1,2,1,1,5,5,0,1,527755.9691039,5,1,0.15,0,0,0.85,0,2,20,0,3,0,0,3,1.62812713425049,0,2,527756.3277475,1,527756.8405948,0,0.85,0,0.84266559266935,0.439286869030094,0,1,0.334069483474018,0,1,1,0,0,2,0,527758.5453549,527759.07923,0,0,1.5,0,0,0,0,527759.0842617,527741.291986,23,"learning",2,1
"6",6,1,2,1,1,6,6,0,1,527759.5245164,6,1,0.15,0,0,0.85,0,2,20,0,3,0,0,4,1.79109433983875,0,2,527759.8630378,1,527760.7413776,0,0.85,0,0.633423044687053,0.53722168965283,0,1,0.276725358813515,0,1,1,0,0,2,0,527762.59854,527763.1270408,0,0,1.6,0,0,0,0,527763.1281026,527741.291986,23,"learning",2,1
"7",7,1,2,1,1,7,7,0,1,527763.5796338,7,1,0.15,0,0,0.85,0,2,20,0,3,5,0,0,1.15181784517517,0,2,527763.9163255,1,527764.5346,0,0.85,0,0.227506924924971,0.0610275980647509,0,1,0.76231937772606,0,1,1,0,0,2,0,527765.7511091,527766.2771673,0,1,1.66666666666667,2,0,0,0,527767.6741561,527741.291986,23,"learning",2,1
"8",8,1,2,1,1,8,8,0,1,527768.5896754,8,1,0.15,0,0,0.85,0,2,20,0,3,5,0,1,1.18423386433303,0,2,527768.9207733,1,527770.0264787,0,0.85,0,0.680928061491861,0.343171528582652,0,1,0.735608559656418,0,1,1,0,0,2,0,527771.2732526,527771.8092086,0,0,1.71428571428571,0,0,0,1,527771.8101942,527741.291986,23,"learning",2,1
"9",9,1,2,1,1,9,9,0,1,527772.2623117,9,1,0.15,0,0,0.85,0,2,20,0,3,5,0,2,1.15155299838197,0,2,527772.6070606,1,527773.0550126,0,0.85,0,0.103209695253498,0.296383638675729,0,1,0.0439469421736024,0,1,1,0,0,2,0,527774.2757414,527774.8105993,0,0,1.75,0,1,0,1,527774.8123777,527741.291986,23,"learning",2,1
"10",10,1,2,1,1,10,10,0,1,527775.2511082,1,2,0.85,0,0,0.15,0,1,20,0,3,5,0,2,1.3550514444822,0,2,527775.5928735,1,527775.8414178,0,0.15,0,0.315070319556323,0.648262593644142,0,0,0.92965307738955,0,0,0,0,0,0,0,527777.2607968,527777.7874608,0,0,1.77777777777778,0,0,0,1,527777.7889483,527741.291986,23,"learning",1,0
"11",11,1,2,1,1,11,11,0,1,527778.0668351,2,2,0.85,0,0,0.15,0,1,20,0,3,5,1,2,1.01611050608774,0,1,527778.411744,2,527778.8991427,0.85,0,1,0.0240359384814288,0.709995427977939,1,0,0.108315424338819,1,0,1,0,0,1,0,527779.9804443,527780.510172,0,0,1.88888888888889,0,0,0,1,527780.5108891,527741.291986,23,"learning",1,1
"12",12,1,1,2,1,12,12,0,1,527780.9537204,3,2,0.85,0,0,0.15,0,1,20,0,3,5,1,2,3.47134596342084,0,2,527781.2976712,2,527781.9484956,0,0.15,0,0.253641686807315,0.770939311171183,0,0,0.311772112791784,0,0,0,0,0,0,0,527785.4841868,527786.011422,0,0,1.77777777777778,0,0,0,1,527786.0128057,527741.291986,23,"learning",1,0
"13",13,1,1,2,1,13,13,0,1,527786.2918327,4,2,0.85,0,0,0.15,0,1,20,0,3,5,1,3,0.756914872653261,0,1,527786.6353878,1,527787.1173844,0.85,0,1,0.710879994115611,0.636170656901424,0,1,0.880586108866767,0,1,1,0,0,2,0,527787.9363378,527788.4667247,0,0,1.77777777777778,0,0,0,1,527788.4674203,527741.291986,23,"learning",1,1
"14",14,1,2,1,1,14,14,0,1,527788.900852,5,2,0.85,0,0,0.15,0,1,20,0,3,5,2,3,1.2330617223875,0,1,527789.2375303,2,527790.9460842,0.85,0,1,0.788309620208153,0.922406896979628,1,0,0.0982219495422976,1,0,1,0,0,1,0,527792.2574427,527792.7933502,0,0,1.77777777777778,0,0,0,1,527792.7941045,527741.291986,23,"learning",1,1
"15",15,1,2,1,1,15,15,0,1,527793.2259566,6,2,0.85,0,0,0.15,0,1,20,0,3,5,2,4,1.05191932759896,0,1,527793.5576722,2,527794.578657,0.85,0,1,0.810926898289277,0.239098632430455,0,1,0.962798599452699,0,1,1,0,0,2,0,527795.6934463,527796.2204272,0,0,1.66666666666667,0,0,0,0,527796.2211773,527741.291986,23,"learning",1,1
"16",16,1,2,1,1,16,16,0,1,527796.7222344,7,2,0.85,0,0,0.15,0,1,20,0,3,5,2,4,2.39442754768449,0,1,527797.0607224,2,527797.5095686,0.85,0,1,0.95914336523439,0.601025525797364,0,0,0.235927157116641,0,0,0,0,0,0,0,527799.9630344,527800.4943172,0,0,1.55555555555556,0,0,0,0,527800.4957027,527741.291986,23,"learning",1,1
"17",17,1,2,1,1,17,17,0,1,527800.7735951,8,2,0.85,0,0,0.15,0,1,20,0,3,5,2,4,1.07698424101163,0,2,527801.1139527,1,527801.587273,0,0.15,0,0.491783541185953,0.695031568461889,0,0,0.436230672300951,0,0,0,0,0,0,0,527802.7319066,527803.272737,0,0,1.44444444444444,0,0,0,0,527803.2740934,527741.291986,23,"learning",1,0
"18",18,1,2,1,1,18,18,0,1,527803.5523364,9,2,0.85,0,0,0.15,0,1,20,0,3,5,3,4,1.25812904607761,0,1,527803.8997964,2,527805.2971472,0.85,0,1,0.0141127480010658,0.805201464538033,1,0,0.384152151592512,1,0,1,0,0,1,0,527806.6184534,527807.1627761,0,0,1.44444444444444,0,0,0,0,527807.1636719,527741.291986,23,"learning",1,1
"19",19,1,1,2,1,19,19,0,1,527807.5928542,10,2,0.85,0,0,0.15,0,1,20,0,3,10,3,0,1.87983529148488,0,1,527807.9364234,1,527808.9631399,0.85,0,1,0.787583479700875,0.399248365392659,0,1,0.935327849363296,0,1,1,0,0,2,0,527810.9053884,527811.435013,0,1,1.33333333333333,2,0,0,0,527812.8165263,527741.291986,23,"learning",1,1
"20",20,1,1,2,1,20,20,0,1,527813.3277972,11,2,0.85,0,0,0.15,0,1,20,0,3,10,3,0,0.774110153985723,0,2,527813.6745838,2,527814.3241816,0,0.15,0,0.0386676325696403,0.258484274513681,0,0,0.119728431577311,0,0,0,0,0,0,0,527815.1588917,527815.6869611,0,0,1.22222222222222,0,1,1,0,527815.6897785,527741.291986,23,"learning",1,0
"21",21,1,1,2,1,21,21,0,1,527815.9704614,1,3,0.85,0,0,0.15,1,0,0,0,2,10,3,0,1.4032163520444,0,2,527816.3100593,2,527816.7530935,0,0.15,0,0.784292610128173,0.232057943048613,0,0,0.434631211210556,0,0,0,0,0,0,0,527818.2281691,527818.7569274,0,0,1.33333333333333,0,0,0,0,527818.7591243,527741.291986,23,"fill",1,0
