"","rowid","blockType","diceIndices_1","diceIndices_2","block","trialIndex","allTrialIndex","key","R","startSqueezyAcquisition","stateTime","state","diceWeights_1","diceWeights_2","diceWeights_3","diceWeights_4","criteria_1","criteria_2","criteria_3","criteria_4","criteria_5","bank","purse_1","purse_2","diceRollTime","break.","chosenDice","startDice","chosenDiceLocation","endDice","chosenWinProbs_1","chosenWinProbs_2","unchosenDice","rand_1","rand_2","winnings_1","winnings_2","randRwd","allowedWinnings_1","allowedWinnings_2","totalWin","isPurseFull_1","isPurseFull_2","winCurrency","isWinPurseFull","startReward","endReward","isPurseFullAfterReward_1","isPurseFullAfterReward_2","meanRecentChoice","moveToBank","goToNextState","recentPreference_1","recentPreference_2","startITI","startScan","subject_nr","stateName","correctDice","correct","chosen_dev"
"1",1,1,1,2,1,1,1,0,1,2933836.75266848,1,1,0.15,0,0,0.85,0,2,20,0,3,0,0,0,2.27377903697315,0,2,2933837.14508001,2,2933838.85974787,0,0.85,0,0.951747680869403,0.947358168337974,0,0,0.087529952493876,0,0,0,0,0,0,0,2933841.2478163,2933841.77802738,0,0,NA,0,0,0,0,2933841.78272546,2933836.66654693,"02","learning",2,1,NA
"2",2,1,2,1,1,2,2,0,1,2933842.0640239,2,1,0.15,0,0,0.85,0,2,20,0,3,0,1,0,0.700747503271303,0,1,2933842.41565653,2,2933843.06684987,0.15,0,1,0.0155110305377196,0.323204317939519,1,0,0.821498916168138,1,0,1,0,0,1,0,2933843.83300164,2933844.36140883,0,0,2,0,0,0,1,2933844.36341466,2933836.66654693,"02","learning",2,0,0
"3",3,1,2,1,1,3,3,0,1,2933844.80172788,3,1,0.15,0,0,0.85,0,2,20,0,3,0,2,0,1.02607027787632,0,1,2933845.1678354,2,2933845.7073044,0.15,0,1,0.0801788333397623,0.529134595925567,1,0,0.663652289709834,1,0,1,0,0,1,0,2933846.80206898,2933847.33044266,0,0,1.5,0,0,0,0,2933847.33545467,2933836.66654693,"02","learning",2,0,0
"4",4,1,1,2,1,4,4,0,1,2933847.82018334,4,1,0.15,0,0,0.85,0,2,20,0,3,0,2,0,0.861611442077701,0,1,2933848.17023847,1,2933848.95561423,0.15,0,1,0.568082245008147,0.452116022548116,0,0,0.967907182245613,0,0,0,0,0,0,0,2933849.88807613,2933850.4208077,0,0,1.33333333333333,0,0,0,0,2933850.42344562,2933836.66654693,"02","learning",2,0,0
"5",5,1,1,2,1,5,5,0,1,2933850.7033845,5,1,0.15,0,0,0.85,0,2,20,0,3,0,2,1,1.76111614590279,0,2,2933851.0727753,2,2933852.04442199,0,0.85,0,0.585807197831553,0.793707511486253,0,1,0.642921038845285,0,1,1,0,0,2,0,2933853.89120456,2933854.42113521,0,0,1.25,0,0,1,0,2933854.42664136,2933836.66654693,"02","learning",2,1,0
"6",6,1,1,2,1,6,6,0,1,2933854.85926007,6,1,0.15,0,0,0.85,0,2,20,0,3,0,2,2,1.61488696215334,0,2,2933855.22570477,2,2933855.78677969,0,0.85,0,0.351223680358014,0.510229400393,0,1,0.477447070532874,0,1,1,0,0,2,0,2933857.4773486,2933858.00567942,0,0,1.4,0,0,0,0,2933858.00659706,2933836.66654693,"02","learning",2,1,0
"7",7,1,1,2,1,7,7,0,1,2933858.44188266,7,1,0.15,0,0,0.85,0,2,20,0,3,0,3,2,2.22080183707955,0,2,2933858.8116369,2,2933859.41843481,0,0.85,0,0.900718484994401,0.0554659632666064,1,0,0.97476612930169,1,0,1,0,0,1,0,2933861.71389813,2933862.24206927,0,0,1.5,0,0,0,0,2933862.24335759,2933836.66654693,"02","learning",2,1,0
"8",8,1,1,2,1,8,8,0,1,2933862.67786833,8,1,0.15,0,0,0.85,0,2,20,0,3,0,3,3,0.635422982448048,0,2,2933863.04851878,2,2933863.64292823,0,0.85,0,0.0114371674762461,0.735811180143478,0,1,0.3933971721949,0,1,1,0,0,2,0,2933864.34939286,2933864.88982327,0,0,1.57142857142857,0,0,0,0,2933864.89068386,2933836.66654693,"02","learning",2,1,0
"9",9,1,2,1,1,9,9,0,1,2933865.32340912,9,1,0.15,0,0,0.85,0,2,20,0,3,0,3,4,1.10852608086298,0,2,2933865.68381368,1,2933866.61924855,0,0.85,0,0.799007744959357,0.735890715935663,0,1,0.828499450453233,0,1,1,0,0,2,0,2933867.8021855,2933868.33380534,0,0,1.625,0,0,0,0,2933868.33494303,2933836.66654693,"02","learning",2,1,0
"10",10,1,2,1,1,10,10,0,1,2933868.78174805,10,1,0.15,0,0,0.85,0,2,20,0,3,5,3,0,1.85087808939403,0,2,2933869.13661507,1,2933869.75511502,0,0.85,0,0.13601901291042,0.13313766683682,0,1,0.742925522160734,0,1,1,0,0,2,0,2933871.68876532,2933872.22571322,0,1,1.66666666666667,2,0,0,0,2933873.68683526,2933836.66654693,"02","learning",2,1,0
