"","rowid","X","chosenDice","totalWin","state","stateTime","MR","MG","isPurseFull_1","isPurseFull_2","VA","VB","chosenNet","chosenDevalued","rwd_devalued","winCurr","chosenRed","chosenGreen","prefT","vDiff","subject_nr","allTrialIndex","stateName","correctDice","correct"
"1",1,1,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"07",1,"learning",1,0
"2",2,2,2,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"07",2,"learning",1,0
"3",3,3,1,1,1,3,1,1,0,0,0,0,0.5970221,0.5970221,1,1,0.5970221,0,0,0,"07",3,"learning",1,1
"4",4,4,1,1,1,4,1,1,0,0,0.5970221,0,0.83760881211159,0.83760881211159,1,1,0.83760881211159,0,0,0,"07",4,"learning",1,1
"5",5,5,1,1,1,5,1,1,0,0,0.83760881211159,0,0.934559940126223,0.934559940126223,1,1,0.934559940126223,0,0,0,"07",5,"learning",1,1
"6",6,6,1,1,1,6,1,1,0,0,0.934559940126223,0,0.973629102096191,0.973629102096191,1,1,0.973629102096191,0,0,0,"07",6,"learning",1,1
"7",7,7,1,1,1,7,1,1,0,0,0.973629102096191,0,0.989373110941609,0.989373110941609,1,1,0.989373110941609,0,0,0,"07",7,"learning",1,1
"8",8,8,2,0,1,8,1,1,0,0,0.989373110941609,0,0,0,0,0,0,0,0,0,"07",8,"learning",1,0
"9",9,9,1,0,1,9,1,1,0,0,0.989373110941609,0,0.398695498563717,0.398695498563717,0,0,0.398695498563717,0,0,0,"07",9,"learning",1,1
"10",10,10,2,1,2,1,1,1,0,0,0.398695498563717,0,0.5970221,0.5970221,1,2,0,0.5970221,0.75,0,"07",10,"learning",2,1
"11",11,11,2,1,2,2,1,1,0,0,0.398695498563717,0.5970221,0.83760881211159,0.83760881211159,1,2,0,0.83760881211159,0,0,"07",11,"learning",2,1
"12",12,12,2,1,2,3,1,1,0,0,0.398695498563717,0.83760881211159,0.934559940126223,0.934559940126223,1,2,0,0.934559940126223,0,0,"07",12,"learning",2,1
"13",13,13,1,0,2,4,1,1,0,0,0.398695498563717,0.934559940126223,0.16066547475066,0.16066547475066,0,0,0.16066547475066,0,0,0,"07",13,"learning",2,0
"14",14,14,2,1,2,5,1,1,0,0,0.16066547475066,0.934559940126223,0.973629102096191,0.973629102096191,1,2,0,0.973629102096191,0,0,"07",14,"learning",2,1
"15",15,15,2,1,2,6,1,1,0,0,0.16066547475066,0.973629102096191,0.989373110941609,0.989373110941609,1,2,0,0.989373110941609,0,0,"07",15,"learning",2,1
"16",16,16,2,1,2,7,1,1,0,0,0.16066547475066,0.989373110941609,0.995717598563717,0.995717598563717,1,2,0,0.995717598563717,0,0,"07",16,"learning",2,1
"17",17,17,2,1,2,8,1,1,0,0,0.16066547475066,0.995717598563717,0.99827428686225,0.99827428686225,1,2,0,0.99827428686225,0,0,"07",17,"learning",2,1
"18",18,18,1,1,3,1,1,1,0,0,0.16066547475066,0.99827428686225,0.661766735617524,0.661766735617524,1,1,0.661766735617524,0,0.875,0,"07",18,"learning",1,1
"19",19,19,2,0,3,2,1,1,0,0,0.661766735617524,0.99827428686225,0.402282475743747,0.402282475743747,0,0,0,0.402282475743747,0,0,"07",19,"learning",1,0
"20",20,20,2,0,3,3,1,1,0,0,0.661766735617524,0.402282475743747,0.162110947282016,0.162110947282016,0,0,0,0.162110947282016,0,0,"07",20,"learning",1,0
"21",21,21,1,1,3,4,1,1,0,0,0.661766735617524,0.162110947282016,0.863699469409005,0.863699469409005,1,1,0.863699469409005,0,0,0,"07",21,"learning",1,1
"22",22,22,2,1,3,5,1,1,0,0,0.863699469409005,0.162110947282016,0.662349229102718,0.662349229102718,1,2,0,0.662349229102718,0,0,"07",22,"learning",1,0
"23",23,23,1,1,3,6,1,1,0,0,0.863699469409005,0.662349229102718,0.945073898413555,0.945073898413555,1,1,0.945073898413555,0,0,0,"07",23,"learning",1,1
"24",24,24,2,0,3,7,1,1,0,0,0.945073898413555,0.662349229102718,0.266912101410432,0.266912101410432,0,0,0,0.266912101410432,0,0,"07",24,"learning",1,0
"25",25,25,2,0,3,8,1,1,0,0,0.945073898413555,0.266912101410432,0.107559678110963,0.107559678110963,0,0,0,0.107559678110963,0,0,"07",25,"learning",1,0
"26",26,26,2,1,3,9,1,1,0,0,0.945073898413555,0.107559678110963,0.640366273209832,0.640366273209832,1,2,0,0.640366273209832,0,0,"07",26,"learning",1,0
"27",27,27,2,0,3,10,1,1,0,0,0.945073898413555,0.640366273209832,0.258053456008924,0.258053456008924,0,0,0,0.258053456008924,0,0,"07",27,"learning",1,0
"28",28,28,1,1,3,11,1,1,0,0,0.945073898413555,0.258053456008924,0.977865994927508,0.977865994927508,1,1,0.977865994927508,0,0,0,"07",28,"learning",1,1
"29",29,29,1,1,3,12,1,1,0,0,0.977865994927508,0.258053456008924,0.991080485117298,0.991080485117298,1,1,0.991080485117298,0,0,0,"07",29,"learning",1,1
"30",30,30,1,1,3,13,1,1,0,0,0.991080485117298,0.258053456008924,0.99640563262355,0.99640563262355,1,1,0.99640563262355,0,0,0,"07",30,"learning",1,1
"31",31,31,2,0,3,14,1,1,0,0,0.99640563262355,0.258053456008924,0.103989839790219,0.103989839790219,0,0,0,0.103989839790219,0,0,"07",31,"learning",1,0
"32",32,32,1,1,3,15,1,1,0,0,0.99640563262355,0.103989839790219,0.99855154938281,0.99855154938281,1,1,0.99855154938281,0,0,0,"07",32,"learning",1,1
"33",33,33,1,1,3,16,1,1,0,0,0.99855154938281,0.103989839790219,0.999416306412031,0.999416306412031,1,1,0.999416306412031,0,0,0,"07",33,"learning",1,1
"34",34,34,2,1,3,17,1,1,0,0,0.999416306412031,0.103989839790219,0.638927707259999,0.638927707259999,1,2,0,0.638927707259999,0,0,"07",34,"learning",1,0
"35",35,35,2,1,3,18,1,1,0,0,0.999416306412031,0.638927707259999,0.854495845723449,0.854495845723449,1,2,0,0.854495845723449,0,0,"07",35,"learning",1,0
"36",36,36,2,0,3,19,1,1,0,0,0.999416306412031,0.854495845723449,0.34434294146836,0.34434294146836,0,0,0,0.34434294146836,0,0,"07",36,"learning",1,0
